,0
STAT1 AFFX-HUMISGF3A/M97935_5_at,0.5018015344478016
STAT1 AFFX-HUMISGF3A/M97935_MB_at,0.4896785976457703
STAT1 AFFX-HUMISGF3A/M97935_3_at,0.48780044064078687
STAT1 AFFX-HUMISGF3A/M97935_MA_at,0.45492700486475074
PTPN22 208011_at,0.27430389112044057
IRAK2 1553739_at,0.2557496793444173
IL23R 1561853_a_at,0.254713986302361
IL21 221271_at,0.2376831018897885
CHRM3 1559634_at,0.23276174458975118
MPO 203948_s_at,0.2300433305089503
CXCL2 1569203_at,0.22872474275929225
IL10 207433_at,0.22630027290043636
NFKB2 211524_at,0.22373887449543312
IL22 221165_s_at,0.21182487487332113
XCL1 206365_at,0.2035527988385861
IL4 207539_s_at,0.20245261409931384
IRAK2 1553740_a_at,0.19875953299818794
CIITA 210925_at,0.19509267340713385
IL36B 224230_at,0.19239346752216785
ACE 209749_s_at,0.1884315264996541
IL23R 1552912_a_at,0.18804537562238563
SOCS3 214105_at,0.18699821415653098
MTHFR 206800_at,0.1858671501049241
MTHFR 217070_at,0.1844742368652279
IL17RD 229263_at,0.18441457948237097
MPO 203949_at,0.18339470120262452
FOXP3 224211_at,0.18236399499186223
RORC 206419_at,0.18004233882974865
IL12RB1 239522_at,0.17840262134451162
FCGR2A 1565673_at,0.176362930434432
TRAF6 205558_at,0.1757170670751474
VDR 204253_s_at,0.17436271019871227
FOXP3 221334_s_at,0.1724221839330948
SOCS3 206359_at,0.17101563954251475
KLRD1 207796_x_at,0.17096494421339065
ITGAX 1563003_at,0.17078025502567926
PTPN22 208010_s_at,0.17066916309240976
IL17RA 228685_at,0.1702081267701724
VEGFA 210513_s_at,0.17009950888768166
CD86 210895_s_at,0.1692083481596662
JAK2 205841_at,0.169033309424131
IKBKB 211027_s_at,0.16848260211398355
CD86 205685_at,0.16838054507066752
RELA 209878_s_at,0.1682497325486834
IL17RC 64440_at,0.16824944992940513
IL12RB1 206890_at,0.16753214889511886
TNFRSF11B 204933_s_at,0.1674442325248589
IL17RA 229101_at,0.16699627995486682
TNFRSF11A 207037_at,0.1664425727762281
BIN2 219191_s_at,0.16608422290179603
TNFAIP3 202643_s_at,0.16606643144008518
CCHCR1 37425_g_at,0.16589191256252875
VDR 213692_s_at,0.16574601326608976
IL17RC 224514_x_at,0.16559803539952772
CD4 203547_at,0.16558242829856695
TNFRSF11A 238846_at,0.1655124831986462
MAP3K7 206853_s_at,0.1652104117846666
TAP2 204770_at,0.16464724450812548
TRAF3IP2 202987_at,0.1646405522312553
MTHFR 239035_at,0.1641591972849854
IFIH1 216020_at,0.16391893427676077
TNFRSF11B 204932_at,0.16371992516174702
MAP3K7 211536_x_at,0.16357242893642365
IFNGR2 201642_at,0.16354787628890766
KLRD1 207795_s_at,0.16343124299306205
CHUK 209666_s_at,0.16322271602566849
CHRM3 1559633_a_at,0.16321413604647958
CARD14 1555308_at,0.16298541327475446
MAP3K7 211537_x_at,0.16282952651316332
TNFAIP3 202644_s_at,0.16282614147633045
ERAP1 209788_s_at,0.16273090024705672
CXXC5 222996_s_at,0.1625859303899332
RELA 201783_s_at,0.16239591020137828
IL17RD 227997_at,0.16238837157296138
JAK2 205842_s_at,0.16211596850604418
REL 206035_at,0.1620392843158366
HIF1A 200989_at,0.16171069739570085
NFKB1 209239_at,0.16139222774000073
HLA-C 216526_x_at,0.16112671713008453
AHR 202820_at,0.16109207164194922
TLR4 1552798_a_at,0.1610677113402238
IKBKB 209341_s_at,0.16100550589984344
CXXC5 233955_x_at,0.1609354101676496
B2M 201891_s_at,0.16088299391794725
VEGFA 210512_s_at,0.16086032535753975
CCHCR1 37424_at,0.16085449180327455
CXXC5 224516_s_at,0.16074522437877783
KRT10 213287_s_at,0.1606334440998411
HLA-C 214459_x_at,0.1604649853786838
HLA-DRB1 /// HLA-DRB1 208306_x_at,0.16040941586404245
TNIP1 207196_s_at,0.16033714784544403
ERAP1 209701_at,0.16033491127872684
MAP3K7 206854_s_at,0.1603266217537621
IFNLR1 244261_at,0.160280429526769
HLA-C 208812_x_at,0.1602271628587868
IL17RA 205707_at,0.1601163388487357
IL10RB 209575_at,0.16003724894646432
PSORS1C1 220362_at,0.16002702140400962
TNF 207113_s_at,0.16000721664013542
CD86 205686_s_at,0.16000695953966892
JAK2 1562031_at,0.15999521279075415
CCHCR1 42361_g_at,0.15991872895311954
IL17RE 229401_at,0.15982932698523195
NFKBIA 201502_s_at,0.15972316285368257
KRT10 207023_x_at,0.15958104640618315
KRT10 210633_x_at,0.1593944220039839
HLA-A 213932_x_at,0.15938306466515947
TLR4 232068_s_at,0.15936501646277035
HLA-A 215313_x_at,0.15916631538786738
VDR 204255_s_at,0.15915731899286775
TRAF3IP2 215411_s_at,0.1590882547945338
AQP3 39248_at,0.15905174203408654
IKBKB 209342_s_at,0.15904950790064593
