,CD4 216424_at,SOCS3 206360_s_at,CIITA 211884_s_at,IL4 207538_at,CXCL2 230101_at,CARD14 1555309_a_at,IL17A 208402_at,IL17RC 221926_s_at,CARD14 224113_at,S100A12 205863_at,HSD3B1 241111_at,IL13 207844_at,MTHFR 217071_s_at,CRAT 205843_x_at,HSD3B1 204515_at,MIR146A 238225_at,IL17C 224079_at,NOS2 210037_s_at,IDO1 210029_at,IFNG 210354_at,IL17F 234408_at,VNN3 220528_at,CCL20 205476_at,IL1B 39402_at,IL20 224071_at,IL36A 221404_at,IL22 222974_at,IL26 221111_at,IL36B 231755_at,IL10 207433_at,MPO 203948_s_at,CD3E 205456_at,KLRD1 207795_s_at,XCL1 206366_x_at,PTGS2 1554997_a_at,CARD14 220598_at,ACE 209749_s_at,CHRM3 1553705_a_at,CAMP 210244_at,IL23R 1552912_a_at,IL12B 207901_at,PLEK 203470_s_at,MTHFR 206800_at,MTHFR 217070_at,PSORS1C3 238997_at,IL4 207539_s_at,IRAK2 1553740_a_at,IL17RA 205707_at,IL23R 1561853_a_at,SOCS3 214105_at,CARD14 1555308_at,CXCL1 204470_at,TLR4 1552798_a_at,RORC 206419_at,IL22 221165_s_at,TNIP1 243423_at,STAT1 AFFX-HUMISGF3A/M97935_MB_at,STAT1 AFFX-HUMISGF3A/M97935_MA_at,S100A9 203535_at,SERPINB4 211906_s_at,IL17A 216876_s_at,IL19 220745_at,THRSP 1553583_a_at,CHRM3 214596_at,LOR 207720_at,RORC 228806_at,LEP 207092_at,CXCL11 211122_s_at,S100A7 205916_at,SERPINB3 209719_x_at,HLA-DPA1 213537_at,RNASE7 233488_at,TRAF6 205558_at,CXCL6 206336_at,ERAP1 214012_at,KLRD1 210606_x_at,IL36B 224230_at,LYZ 1555745_a_at,HLA-DQA1 203290_at,PTPN22 206060_s_at,FOXP3 221333_at,PTPN22 208011_at,C1QTNF2 223749_at,CHRM3 1559634_at,CHRM3 1559633_a_at,IRAK2 1553739_at,IL21 221271_at,CXCL2 1569203_at,ACE 227463_at,CHRM3 1564339_a_at,MPO 203949_at,IFNLR1 1555499_a_at,Sex_LE
0,-0.7161136575338772,-0.6740812816412934,-0.8629830823371295,-0.9162528844568303,-0.7472976453270144,-0.30188272946726574,-0.27644407560174006,-0.21766969821029583,-0.20858761677049917,-0.45091793955135245,-0.42533309185636664,-0.24208636705311767,-0.06788401012859625,-0.1407459943260821,-0.251757265905469,-0.3761950961824157,-0.4185251537619948,-0.15300419977196617,-0.21930989027981077,-0.46972926264626247,-0.4528085862323678,-0.21931642955425656,-0.3175429321386384,-0.6669156062450516,-0.5578938604975272,-0.7826378035467485,-0.5795070786499829,-0.696477243844116,-0.4997502196257034,-0.690654360017164,-0.8728970921909704,-0.3669968788837736,-0.8197445000459956,-0.8086730589934916,-1.335649662976128,-0.30629131915614843,-0.9018143786557222,-0.4968566345135757,-0.6838766275096005,-0.6731245319817943,-1.02351515769084,-0.6251057826701304,-0.780394249112486,-0.9111867730226607,-0.9810805002690066,-0.5647901712969114,-0.5414066852508672,-0.6290641206993912,-1.044195382415256,-0.7830464061465238,-0.9908741949289236,-1.0923254169304124,-0.5755046540031308,-1.162860205720452,-1.0620580407749667,-1.257679840774357,-1.5915639659402934,-1.4512390468340353,-0.9412620012715865,-1.8466441441863577,-1.2185204327226506,-1.1885640957398786,-0.5008769279825341,-0.890950218041635,-1.0045345892232755,-1.0509890657255352,-1.1197547720092487,-1.2792603101619335,-1.1217828197709805,-1.5663476443508868,-1.5054733106389402,-1.7752956360996082,-1.642179312538238,-1.5447727830930502,-1.302770671685543,-1.465633647196861,-1.1707399209001714,-0.8855243197948384,-2.0150875148885494,-1.2961546354895332,-1.1556680664369092,-1.0721754150214888,-0.3068900516814864,-0.7910572527158065,-0.7066871048185847,-0.898953654880971,-0.713785248520281,-0.8467577538746014,-0.3543232445741992,-0.24856860178196047,-0.5778402689380658,-0.47310576083630007,1
1,-0.7027159159536769,-0.7273401826869562,-0.9331146004534745,-0.902618104101474,-0.7310085202219935,-0.31459643229377265,-0.28999744609760464,-0.2238365188212968,-0.20013160268767427,-0.5908736408683115,-0.43227054652818675,-0.2375094005335498,-0.1280763421442933,-0.13199378793071131,0.04521815324132911,-0.4595498595446296,-0.4164658389408948,-0.1649228933543851,-0.27672238562105006,-0.5082911349471037,-0.39264208574137627,-0.2868409661710668,-0.30881246061610107,-0.48303952528702115,-0.5489509529838381,-0.9270596408819077,-0.5875209602718486,-0.845755062819781,-0.40805037308319975,-0.7033161508769096,-0.8365571582382283,-0.361248712340881,-0.8266840935418212,-0.5712734865915312,-1.0198513507940166,-0.3326952709648908,-0.9210056210008494,-0.39586162726465124,-0.8453367975977668,-0.6011013173490733,-0.9524573408799425,-0.6834549599714238,-0.6583378344161456,-1.1550387388544099,-0.8700763035320147,-0.7822725475402502,-0.8175402286834508,-0.6490253938546293,-0.7200088591618314,-1.2770731768128043,-1.2427946748220187,-0.9161247507364899,-0.8860256773765404,-0.9025307371317198,-0.8316915555756104,-1.0899521100463512,-1.642048665707084,-1.904252411012619,-1.2782372038389496,-2.1094023746088,-1.479190738459018,-1.403680628420622,-0.04828551063359469,-0.7742611357675364,-0.8038347286680112,-0.4315789530068577,-0.8469322347354546,-1.5272953148752242,-1.228880748087878,-1.4273079986007338,-0.6934376048030341,-0.8791497465781672,-1.391991501428,-1.419213699947015,-0.6832495469665109,-1.270158519303615,-0.9241431170537716,-0.5225346528566538,-0.024696351525110776,-0.8892755957923215,-2.001895880818036,-1.0342081036769386,-0.6121892514810129,-1.0279888861676694,-0.6800489676144845,-0.8471141206371465,-0.9404985825671376,-0.8462221503322797,-0.6216500944744795,-0.25287734641773035,-0.5595621332269772,-0.4297888773920599,1
2,-0.6391531987693201,-0.6461591210622183,-0.9596062330807819,-0.8626345416113923,-0.7107508049548704,-0.3115497270220743,-0.32961989789677165,-0.21041827368955074,-0.21807825782007878,-0.6230835217019192,-0.4293052953963022,-0.25064215406031015,-0.1334522020008449,-0.15162622574720586,-0.29771098899546977,-0.3991065437501353,-0.42147015244692865,-0.2183315477295929,-0.244986187064288,-0.5250834831474428,-0.42437312336252564,-0.26359966611773694,-0.29641097384910864,-0.5216621961226324,-0.537353622198593,-1.1933440757556957,-0.5606714658574088,-0.7972550427545568,-0.3658522742853525,-0.8219218748373166,-0.7675342843809336,-0.3241636618639647,-0.603751168624299,-0.5112357745456644,-0.6900310466414331,-0.3256353974589892,-0.9395392995927371,-0.44338812230548974,-1.0932455172882936,-0.6567018841255221,-0.912129831428532,-0.6224665163281106,-0.7726336022430644,-1.156209168713519,-1.039373978755826,-0.6897966256825252,-1.0743794790957486,-0.6615472878888917,-1.0912061693328121,-1.0330025270215555,-1.3290535565928492,-0.8548462192109468,-0.7183775775126282,-0.9977700188910514,-1.080726789901294,-0.8493044955119995,-1.5378314694966957,-1.7056166059823004,-1.8214369041114977,-1.710595652826407,-1.6578123792232276,-1.3135887392420649,-0.7570778715964377,-1.1152538788949946,-0.8038566481991773,-0.8900647185397527,-0.7055832924523773,-1.2974495505244332,-1.8502121029633105,-1.683365371571266,-1.5074384071094553,-0.6820919985152564,-1.1244473323172492,-1.5609467309227223,-0.44727101750504783,-1.0673866808241457,-1.5559412790006544,-2.2250536303248096,-1.9208504130340183,-0.9314277556713988,-1.3946681058969483,-1.223057207819114,-0.4788563774518432,-0.893527843362024,-0.7515265022843078,-0.8451103966229576,-0.8886160686584346,-0.8505838640982492,-0.43581396988810406,-0.2111133380171604,-0.6749345979954905,-0.4802792548654938,1
3,-0.6927345542226899,-0.6789090695151052,-0.9963664265148257,-0.9143531255331762,-0.7003987993304173,-0.25578079276091953,-0.3103158277161309,-0.1736185225888122,-0.21470210694174954,-0.6337195090036435,-0.45354524773124744,-0.26119115243570157,-0.11509655637720802,-0.1517273595662448,-0.4289088923711433,-0.4854983067355314,-0.3268309637798924,-0.24150935610964583,-0.2826032605170253,-0.4699359401426105,-0.3603007831376597,-0.2557685547454827,-0.29569934517400615,-0.5906633077426202,-0.47284059881152984,-0.8154301486412787,-0.6233666284350172,-0.7699673047704522,-0.45754375190167385,-0.6934270143337077,-0.8730442524430687,-0.41746767930589207,-0.9055743860662757,-0.7357004274386681,-1.0937856628815437,-0.3539411082678496,-0.7341073539456029,-0.23202164035611533,-0.9734445212260291,-0.689417063044505,-0.8407086886736908,-0.9458153725389841,-0.6308646364925421,-1.0854906090442287,-0.9237311354468386,-0.6645934374037629,-0.856542691039335,-0.7111935441646066,-1.0881922523000294,-1.100979944572928,-0.7995224720169799,-1.1352830768221973,-1.1661808131832896,-0.958092856387812,-1.0089431368134583,-0.6348887767252701,-1.7686041522619471,-1.9328949971294638,-2.1494219475500027,-1.7187701410772387,-1.412007840898226,-1.0180113234919765,-0.5763497937240017,-0.29539885454255954,-1.071945756273171,-0.40299646233403774,-0.42567503967148707,-2.5293709566863383,-3.2435686262813683,-2.3691400733376824,-0.68583698980514,-2.843900382549569,-1.0959132941027678,-1.5607604823709236,-0.36077975894407766,-1.3301306086686773,-1.7077039399570582,-0.854753433104149,-2.101461756469039,-1.0277763864694214,-1.1189254073489614,-1.399161883190513,-0.8078745071807949,-0.8296039832302319,-0.29309920343155316,-0.9939351636735408,-0.7745739761247213,-0.8019378743634156,-0.4781148479661001,-0.14688528339949183,-0.6002586791366789,-0.5553545581271285,1
4,-0.6780983557366507,-0.7397224610044211,-1.0065254490382527,-0.9219404812854851,-0.7334943043960591,-0.2699969976569634,-0.36797555285008693,-0.22473232776400623,-0.22860931525442985,-0.6121883398726031,-0.4554671647043562,-0.2737712423211459,-0.10934673184992111,-0.16072979804535759,-0.44905030171821214,-0.47350696020340494,-0.37270082384109116,-0.20083095163386944,-0.2657244591354916,-0.46645800557598704,-0.5558894942528103,-0.2722789570156852,-0.2682320177995738,-0.5808872851334984,-0.6492801883518977,-0.8839200698864884,-0.6786914708155871,-0.7263538357872361,-0.3504584018482377,-0.6663347867333912,-1.0290902753160593,-0.3677175682943559,-0.7857002434378534,-0.6193056215868807,-1.0472314911543652,-0.332060462196961,-0.7565606279806689,-0.4724609726011158,-1.0892682237079223,-0.6336155495124675,-1.1002196144633865,-0.7094875528217678,-0.8073852282741237,-1.9393170136480322,-0.9490934352184716,-0.6356018681544258,-0.9658999673513949,-0.666169470728229,-1.0379652392550665,-1.064037601009362,-1.4270696601438402,-1.232702112665593,-0.9307848246440517,-0.8319784427655048,-1.1215021728229868,-0.7900786329625019,-1.5058495487812056,-1.6141231137975127,-1.606303587009936,-1.8327074763327222,-1.453400301740165,-0.9688120191971931,-1.596203745499512,-1.0640184562992387,-0.8310009069917734,-0.8269351936479094,-0.8757132742099635,-1.8267751097684826,-0.9393210396806019,-1.247905034065167,-0.7808489947051728,-0.7956554733221172,-1.2912190755835875,-1.411964831011453,-0.2801725042582905,-0.8778471920283739,-1.4850738865313202,-0.7370724036796055,-2.0665854262939956,-0.9343987351557691,-1.3298538080654272,-1.1552160878007232,-0.5511250789840153,-0.806678340618228,-0.8509276958365405,-0.967758886509167,-0.8997868140101926,-0.8531381468848364,-0.33439445764601106,-0.23648629045032904,-0.701302296411744,-0.4841032407574556,1
5,-0.5693285528615077,-0.6510732593042049,-0.90081414857576,-0.8700969385717279,-0.7398391600243082,-0.2898270858254401,-0.2791892655238344,-0.2107972269516561,-0.18180273055437884,-0.6591354057628309,-0.4158246865728786,-0.24453181671565508,-0.12689825233674057,-0.1469718159283684,-0.26268868696973396,-0.5624526189567383,-0.412754609606367,-0.14592148770642638,-0.21843847276874115,-0.47179779101823877,-0.4529148157602022,-0.2754418016265189,-0.2992334243658183,-0.5124133185964685,-0.5324765309411689,-1.0175747146408356,-0.5959745542106136,-0.8591219954741748,-0.4121789483558983,-0.8113009186642564,-0.8025617160559718,-0.29577195131534884,-0.7008205593408261,-0.5629148696222555,-1.2032296335819166,-0.3571206621904541,-0.7710004036533965,-0.4147235385294083,-0.8249109536283392,-0.6714244468770599,-0.7242895590671209,-0.6456698422508718,-0.6395493032860379,-1.7150610963658193,-0.8303416247075147,-0.6116141525262526,-0.9354692127354178,-0.8164764915215295,-0.8383066596613902,-1.0902017037987923,-1.567641735834929,-0.9717929491331281,-0.9489242572032682,-1.2776956746728603,-1.2915611566703304,-0.8764956421045703,-1.5212979302401795,-1.4621412240149654,-1.704976806488619,-1.3973954691829558,-1.3059143084241418,-0.9499383525232574,-0.2500141750134568,-0.46105456329714456,-0.8108638963463803,-0.6238452240417377,-0.09406899783752315,-1.5433988992700185,-1.1269575847277074,-0.962177771388362,-1.8943988773821412,-1.1231624770458084,-1.3686179698536112,-1.9192563345505134,-1.399552307813784,-1.0320462521142724,-1.3917670503082014,-2.277681703363439,-1.110159229561617,-1.12289447650354,-1.4795256599382094,-1.0483051588910013,-0.5764816593081951,-0.8904720546140501,-0.8121108000471867,-0.9238857618845069,-0.8086720710570426,-0.590309464463866,-0.34426601952959357,-0.18355235035125822,-0.5761030554437275,-0.38588325577036797,1
6,-0.5912181463791117,-0.7500119514458129,-0.7632173680098533,-0.9026558185759763,-0.6760112585137134,-0.28455073367181327,-0.348390613437945,-0.22418895482422344,-0.18606687650966983,-0.5873066393408947,-0.47717965428529324,-0.21858688999327852,-0.06292269314623164,-0.14918867902389965,-0.29145857264659736,-0.40983854773823797,-0.3897292521139524,-0.15413392481271845,-0.28441026002489944,-0.4343554968363389,-0.37183944959934634,-0.24134579383271193,-0.24566090949285735,-0.597946428833864,-0.6069130103813486,-0.8216166648455895,-0.5579902154138986,-0.8969167773030823,-0.4138197646426713,-0.793366537957823,-0.6374257024744018,-0.4034428806381584,-0.9829624327378687,-0.7888144024531348,-0.7937132259559326,-0.32227134155699927,-0.9586860634008302,-0.4686246826252914,-0.9044033044336359,-0.66854659513308,-0.8872382402822045,-0.7298561663968108,-0.7838493393945868,-1.270595909970507,-0.877705371479317,-0.7007770578203959,-0.9093474804806377,-0.7499062026289744,-1.1429432381500568,-0.5633814612124739,-1.0395083489273154,-0.9595910653172578,-0.8783653629145034,-0.8016864206993293,-0.7443135815237785,-0.8290973972317475,-1.509825377614433,-1.3763351753508855,-1.886104183076346,-1.8836899737680977,-1.263454005964415,-1.116029685851462,-0.2463057131840347,-1.1464332385148104,-0.8409487743738371,-0.5972612594100263,-1.407056779992757,-1.374473250713727,-1.4728326431697216,-2.309100722517604,-1.7056253645613582,-1.2148045633290594,-1.1029472365966748,-1.3645075815671674,-0.5347052086836853,-1.4229324178050278,-1.0997981885894328,-0.6178108989674771,0.07495817694828495,-1.2293188686784513,-0.7566448266703178,-1.154357048288291,-0.6411596562262367,-0.7919259609961349,-0.7744000706852464,-0.9408081172865146,-0.7351239063813158,-0.7737489802927195,-0.8874554815816075,-0.2785485743375252,-0.5637655557351122,-0.4573223551201361,1
7,-0.6680740327180164,-0.6223983442404,-0.9424561659813404,-0.9147287877066282,-0.709171252770246,-0.3026583548030574,-0.35758593595123084,-0.2088808432077314,-0.21652277779800488,-0.5753217146998495,-0.5014077870969316,-0.2673964407517978,-0.10976946433374411,-0.16522148109060597,-0.29829206311588985,-0.44029937571771094,-0.3380287472882454,-0.18398930623520038,-0.24706516866636685,-0.3719040955468532,-0.4291306805788169,-0.2760354979520105,-0.27976523633645456,-0.5290357162807522,-0.4505561901344458,-1.0185643360050816,-0.5297595403119028,-0.9963161924732185,-0.3802470303503663,-0.8074475131264687,-0.9439145765605205,-0.29507269862192825,-0.8180057105874621,-0.5977112504929004,-1.3522701725649273,-0.3763026518984569,-0.9541007092749,-0.2779942400825914,-0.7544004201751654,-0.6879800380083263,-0.9765995191875674,-0.5999421032023887,-0.776882707672762,-1.4114033964363597,-0.7738314759246471,-0.8049757535997194,-0.879370509833522,-0.6130343499813597,-1.0089840783404087,-1.286131824780187,-1.1726876856903596,-0.979589221525851,-0.7743643718569411,-1.2558211698942843,-0.9701962840690355,-0.5963623949776516,-1.7059430205656654,-1.8897166105062957,-2.531985319431634,-1.8856165994924936,-1.3727087377279854,-1.312851544073902,-1.3036271830060873,-0.29701042843645825,-1.1995127957784417,-0.6093094708984348,-1.4070448445267525,-1.450866595192289,-3.299507261037187,-2.622792506121733,-1.016399981301858,-3.2918311293672256,-1.4297082755517574,-1.4014218780049024,-0.8500871212270457,-1.2857634272359804,-1.3121591045442615,-2.8081087840697534,0.005479960938132902,-0.9157693252327312,-1.0753524892998814,-0.8972964347648648,-0.601737008238065,-0.7921292343197859,-0.7054921910026946,-0.7706380729130275,-0.5687786175654087,-0.6923336801725397,-0.48992129479831414,-0.23054432478267328,-0.697207639851322,-0.4831907940945776,1
8,-0.6564438437806966,-0.7050290139350752,-0.9003703411169168,-0.8921650199386434,-0.6356259183760837,-0.2465332915913729,-0.2976187239968432,-0.23085112716296446,-0.21719950293534837,-0.5984059736878558,-0.4123039359585412,-0.2512813648534646,-0.09729520025539863,-0.1532712648663307,-0.23049459465074812,-0.30423449347647086,-0.3907441066141048,-0.1651194065425364,-0.26380764633140075,-0.3866285946932501,-0.4259707174553694,-0.2529061062936462,-0.31020070671813527,-0.5655410586938582,-0.5728789442198969,-1.0300009102161114,-0.5204320626335405,-0.7206249156092026,-0.45475622021659196,-0.734780879249553,-0.7706194457303035,-0.3531162663670522,-0.7773456088127335,-0.9467233172569649,-1.0580081780727246,-0.33126795828106453,-0.9902743539396347,-0.5070594648393765,-0.8252115148348447,-0.5403826340565068,-0.8779931210522987,-0.5421537578447934,-0.807301696197565,-1.0165197528915029,-0.9963824211782975,-0.7340778811927147,-0.9063169061130293,-0.7119734799692121,-1.056068974779806,-0.8602923628497505,-0.8544326410593864,-1.0662925269597425,-0.821821257494668,-1.3617922880100222,-1.0158315100321467,-0.9023715653445998,-1.599865326523082,-1.5199179260295694,-1.1851269047360402,-1.9679167759521725,-1.3823359521221656,-1.487719986988107,-0.4689340062378284,-1.303018983564505,-0.9388744418912636,-0.7250384499849926,-2.251077462289242,-2.0035039558272816,-0.7221109387342555,-0.8351106364898376,-1.4046695677549033,-1.1003889886778837,-1.7025889273387054,-1.3708963867261736,-0.8142641918691294,-0.9870059709110542,-1.0582298412862694,-0.451052773749806,-1.8203827429307593,-1.0762149516765995,-0.9640917297065541,-1.0584740463783184,-0.7285053555922685,-0.7345704232852056,-0.5920261365314032,-0.8542625114969453,-0.7782124806133335,-0.8797037762464788,-0.5028918117554408,-0.28958379151139296,-0.6242585474216991,-0.530569015075976,1
9,-0.6045112080409533,-0.6994252776308066,-0.9145015782146646,-0.9305788047975084,-0.6714451092782722,-0.3056121634509073,-0.29447787563928696,-0.20064426337552044,-0.1936936229983772,-0.5792817977099239,-0.43519033131084667,-0.26044868747328487,-0.12743576688912248,-0.15332287770610942,-0.42211348045386426,-0.4049987808748161,-0.426723145998236,-0.1506689317393,-0.23270734300559923,-0.46857878546836845,-0.4283949589336539,-0.27539892266970867,-0.26996864317846453,-0.6942132550094582,-0.4808673775817887,-0.9402860900857466,-0.5294777654424985,-0.8415505586934442,-0.3856972773805352,-0.7523515287370589,-0.8042251858735702,-0.3261808047218251,-0.8193903227511724,-0.9270559253844287,-1.1504586286108511,-0.35124142016224597,-1.2539159310968342,-0.3998214526198776,-1.0880199811202882,-0.6801214852615233,-0.9227090342098606,-0.7337017462737385,-0.7475616647376112,-1.3436482296370271,-0.9629505124704563,-0.7214569577459169,-0.8542277892575397,-0.5949935286082344,-0.6867935269101616,-1.1625885720271356,-1.3728230824019039,-1.1600253659229398,-0.4803069511731464,-0.8367775461701192,-0.7987634494804605,-0.6691761305570922,-1.6275110406589453,-1.5913728486345375,-2.3132172235751454,-2.0811333875115183,-1.3955984936313806,-1.1950690899490057,-1.0236507547341551,-0.9023329847166883,-0.8242671479750596,-0.6522227549754779,-0.7493529943519581,-1.8892273551431613,-2.9874755326543725,-3.177036653717796,-0.6615817218816514,-1.2159717713757572,-1.230391666655469,-1.2766926325749486,-0.5316580081385949,-1.7396419283678106,-1.3178414751127994,-0.9385560461103926,-1.9138936676013196,-1.078794476548139,-1.626305093268105,-1.122965636187511,-0.5145669772669608,-0.8217261875560702,-0.8368715537580586,-0.8861401246574253,-0.8812801713305806,-0.8439242176445514,-0.5257430166656551,-0.23824788560914462,-0.7760567037435586,-0.4621631925806466,1
