,Modelo,Estrategia,AUC-ROC test,Balanced Acc. test,F1 weighted test,Recall,AUC CV μ,AUC CV σ,Tiempo (s),_modelo,_X_test,_y_test
LR_L2_FULL,LR_L2,FULL,0.9857,0.9437,0.9447,0.9444,0.9766,0.0075,4.98,"LogisticRegression(class_weight='balanced', max_iter=5000, penalty='l2',
                   random_state=42)","     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
LR_L1_FULL,LR_L1,FULL,0.9902,0.969,0.9683,0.9667,0.9719,0.0076,18.65,"LogisticRegression(class_weight='balanced', max_iter=5000, penalty='l1',
                   random_state=42, solver='saga')","     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
LR_EN_FULL,LR_EN,FULL,0.9921,0.969,0.9683,0.9667,0.9734,0.0093,9.76,"LogisticRegression(class_weight='balanced', l1_ratio=0.5, max_iter=5000,
                   penalty='elasticnet', random_state=42, solver='saga')","     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
SVM_LIN_FULL,SVM_LIN,FULL,0.9775,0.927,0.9218,0.9111,0.9658,0.0138,0.24,"SVC(class_weight='balanced', kernel='linear', probability=True, random_state=42)","     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
LDA_FULL,LDA,FULL,0.8778,0.8302,0.8572,0.8889,0.7832,0.0282,0.27,LinearDiscriminantAnalysis(),"     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
DT_FULL,DT,FULL,0.8689,0.8698,0.8889,0.9111,0.8727,0.018,0.34,"DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)","     ACE 209749_s_at  ACE 227463_at  AHR 202820_at  AQP3 203747_at  \
318         0.113210      -0.030211       0.399168        0.418650   
322         0.122326      -0.026839       0.395458        0.370803   
358       -11.991756       2.041175       2.203042        2.240682   
191         0.116257      -0.028523       0.420005        0.410697   
287         0.122326      -0.023482       0.407301        0.371317   
..               ...            ...            ...             ...   
54         -0.690663      -0.317471      -1.415089       -1.364656   
357         1.046533       4.194335       2.113191        1.508433   
297         0.125349      -0.023482       0.416469        0.362501   
331         0.119296      -0.028523       0.376850        0.449150   
477         0.206931      -0.009148       0.321137        0.409415   

     AQP3 39248_at  AQP3 39249_at  B2M 201891_s_at  B2M 216231_s_at  \
318       0.376472       0.400575         0.381246         0.380837   
322       0.372471       0.362160         0.376972         0.372527   
358       2.178037       2.253761         2.160113         2.183901   
191       0.384055       0.402106         0.379725         0.386963   
287       0.370921       0.365077         0.378198         0.378430   
..             ...            ...              ...              ...   
54       -1.453342      -1.417888        -1.420206        -1.400293   
357       2.129465       1.540672         2.158567         2.011357   
297       0.372780       0.352011         0.377279         0.366540   
331       0.382550       0.447061         0.375434         0.373574   
477       0.365715       0.395179         0.370337         0.411996   

     B2M 232311_at  BIN2 219191_s_at  ...  VEGFA 210513_s_at  \
318       0.417140          0.481215  ...           0.132807   
322       0.534362          0.302392  ...           0.395167   
358       2.171929          2.233783  ...           2.306298   
191       0.397614          0.299413  ...           0.137669   
287       0.429755          0.422083  ...           0.316869   
..             ...               ...  ...                ...   
54       -1.951769         -1.180469  ...          -1.265187   
357       2.317888          2.181208  ...           1.911122   
297       0.388692          0.425730  ...           0.202529   
331       0.388692          0.383026  ...           0.140089   
477       0.042582         -0.023097  ...           0.589553   

     VEGFA 211527_x_at  VEGFA 212171_x_at  VNN3 1553513_at  VNN3 1553514_a_at  \
318           0.186177           0.380660         0.119317           0.034074   
322           0.192527           0.310607         0.127640           0.041279   
358           2.510731           2.331072         3.314203           4.027829   
191           0.209178           0.488482         0.124872           0.172394   
287           0.318954           0.462999         0.130400           0.343690   
..                 ...                ...              ...                ...   
54           -1.331763          -1.169897        -0.819367          -0.928412   
357           2.082655           1.947929         1.884452           1.447931   
297           0.194631           0.369424         0.135901           0.043668   
331           0.192527           0.492931         0.124872           0.041279   
477           0.420592           0.301786         0.241645           0.366068   

     VNN3 220528_at  WFDC12 1553081_at  XCL1 206365_at  XCL1 206366_x_at  \
318       -0.067964           0.258835        0.365082         -0.067117   
322       -0.067099           0.163914        0.378356         -0.067117   
358        4.692069           2.893910        2.930522          4.155535   
191        0.135982           0.399468        0.369524          0.351603   
287        0.189473           0.378056        0.378356          0.038514   
..              ...                ...             ...               ...   
54        -0.256252          -2.069104       -1.212374         -0.546585   
357       -1.004390           1.280081        3.354898         -8.672537   
297        0.157842           0.407312        0.378356         -0.062495   
331        0.101813           0.398517        0.373949          0.215278   
477        0.044082           0.304935        0.379340         -0.000673   

     Sex_LE  
318       0  
322       0  
358       1  
191       1  
287       1  
..      ...  
54        0  
357       1  
297       1  
331       0  
477       1  

[125 rows x 339 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
LR_L2_CLUSTERING,LR_L2,CLUSTERING,0.9457,0.9468,0.9374,0.9222,0.9361,0.0097,0.09,"LogisticRegression(class_weight='balanced', max_iter=5000, penalty='l2',
                   random_state=42)","     CD4 216424_at  SOCS3 206360_s_at  CIITA 211884_s_at  IL4 207538_at  \
318       0.230955           0.100429           0.474646       0.478390   
322       0.243953           0.108713           0.493414       0.502709   
358       0.313484           3.670114          -1.810495       2.269855   
191       0.235286           0.104569           0.474646       0.486481   
287       0.243953           0.108713           0.493414       0.502709   
..             ...                ...                ...            ...   
54       -0.652396          -0.667006          -0.852292      -0.897860   
357       2.571129           3.016434          -1.536101      -2.032825   
297       0.248289           0.112862           0.502839       0.518998   
331       0.243953           0.104569           0.484016       0.494588   
477       0.282805           0.735845           0.547872       0.656959   

     CXCL2 230101_at  CARD14 1555309_a_at  IL17A 208402_at  \
318         0.330690             0.180640         0.245299   
322         0.357885             0.184969         0.251510   
358        -1.067298             0.578510        -0.259011   
191         0.346987             0.182804         0.245299   
287         0.357885             0.184969         0.251510   
..               ...                  ...              ...   
54         -0.677231            -0.275452        -0.306838   
357         4.433951            -1.195612         7.204436   
297         0.368810             0.187136         0.254622   
331         0.352433             0.182804         0.248403   
477         0.483686             0.752572         0.312768   

     IL17RC 221926_s_at  CARD14 224113_at  S100A12 205863_at  ...  \
318            0.017593          0.164216          -0.057710  ...   
322            0.020059          0.170496          -0.014624  ...   
358           -2.200223         -1.503779           4.534883  ...   
191            0.017593          0.166307           0.239459  ...   
287            0.020059          0.170496           0.266374  ...   
..                  ...               ...                ...  ...   
54            -0.200976         -0.196077          -0.641768  ...   
357           -2.413387         -1.445659          -0.048271  ...   
297            0.020059          0.172595           0.257429  ...   
331            0.018826          0.168400           0.221598  ...   
477            0.600348          0.242431           0.192568  ...   

     CHRM3 1559634_at  CHRM3 1559633_a_at  IRAK2 1553739_at  IL21 221271_at  \
318          0.111890            0.077185          0.279141        0.187527   
322          0.115665            0.085435          0.311169        0.205232   
358         -1.234703            2.041972         -1.723962        1.881888   
191          0.115665            0.079939          0.289815        0.196382   
287          0.119437            0.088177          0.311169        0.205232   
..                ...                 ...               ...             ...   
54          -0.758748           -0.564486         -0.877338       -0.721311   
357          2.218681            3.383116         -5.688660        1.448920   
297          0.119437            0.090914          0.316508        0.209654   
331          0.115665            0.082689          0.300491        0.200808   
477          0.170641            0.136269          0.455769        0.294867   

     CXCL2 1569203_at  ACE 227463_at  CHRM3 1564339_a_at  MPO 203949_at  \
318          0.214298      -0.030211            0.009598       0.092598   
322          0.252991      -0.026839            0.010888       0.098502   
358          0.910679       2.041175           -7.771050      -2.879376   
191          0.229808      -0.028523            0.010888       0.095551   
287          0.252991      -0.023482            0.012177       0.098502   
..                ...            ...                 ...            ...   
54          -0.728566      -0.317471           -0.220865      -0.556878   
357         -3.331389       4.194335           -0.963341       9.028368   
297          0.264546      -0.023482            0.012177       0.101451   
331          0.241412      -0.028523            0.010888       0.098502   
477          0.452006      -0.009148           -0.011742       0.170769   

     IFNLR1 1555499_a_at  Sex_LE  
318             0.121521       0  
322             0.127987       0  
358             4.665488       1  
191             0.124754       1  
287             0.127987       1  
..                   ...     ...  
54             -0.456439       0  
357            -5.870170       1  
297             0.127987       1  
331             0.124754       0  
477             0.086775       1  

[125 rows x 93 columns]","318    Psoriasis
322    Psoriasis
358    Psoriasis
191    Psoriasis
287    Psoriasis
         ...    
54       Healthy
357    Psoriasis
297    Psoriasis
331    Psoriasis
477    Psoriasis
Name: Condition/control, Length: 125, dtype: str"
